master_id,Ledger_code,eqpt_code,ledger_name,eqpt_name
1,01,02,NSNENG,NSN_ENG
2,02,02,SM_ENG,S/MAN_ENG
3,03,03,LPTENG,LPT_ENG
4,15,04,TMBENG,TMB_ENG
5,05,05,COLESC,COLES_CH
6,05,06,COLESW,COLES_WRECK
7,07,07,LRV_CH,LRV_CH
8,08,08,LRV_WR,LRV_WRECKER
9,14,09,LEY_CH,LEYLAND
10,02,10,SM_ENG,SMAN/CH
11,14,14,LEY_CH,COLES 10 TON
12,17,17,OBM30,OBM 30 HP
13,18,18,OBM35,OBM 35 HP
14,19,19,COLSP4,COLES P4
15,20,20,OBM45,OBM 45HP
16,21,21,STLN,7.5 TON STLN
17,22,22,LEY_3T,COLES 3 TON
18,26,26,K255CH,KRAZ 255B/B1
19,27,27,K255EN,KRZ 255B ENG
20,28,28,K260CH,KRAZ 260 CH
21,29,29,K214BC,KRAZ 214B CH
22,31,31,RR_CH,RR_CH
23,32,32,RR_ENG,R ROLLER ENG
24,33,33,MG605C,MG 605 CH
25,34,34,MG605E,MG 605 ENG
26,35,35,OBM115,OBM 115
27,36,36,OBM110,OBM 110
28,37,37,D80CH,D80-A12 CH
29,38,38,D80ENG,D80-A12 ENG
30,39,39,D50CH,D50-A15 CH
31,40,40,D50ENG,D50-A15 ENG
32,43,43,G14D1C,G14D1 CH
33,44,44,G14D1E,G14D1 ENG
34,45,45,P4ENG,P4 ENGINE
35,46,46,P6ENG,P6 ENGINE
36,47,47,MISC,MISC
37,48,48,JCB3DX,JCB 3DX ENG
38,49,49,MML,MINE LEYER
39,52,52,MPE,MINE PLANT
40,53,53,S433EN,ENG S433
41,54,54,A_COMP,AIR COMP
42,55,55,JCBCH,JCB CHASSIS
43,56,56,BOATBR,BOAT BRIDGE
44,57,57,TRNDIG,TRENCH DIGGE
45,61,61,EXP,MFR
46,61,62,EXP,TESS
47,61,63,EXP,LM
48,65,65,TREDIG,TRENCH DIGGR
49,58,58,OBM10025,OBM100/15/25
50,30,30,PONTOON,KRZ 255B(PMP
51,59,59,BD14W,DOZER BD 14W
52,60,60,BD14ENG,BD14W ENG
53,61,66,EXP,ICV BMP-II
54,67,67,OBMMARIN,OBM MARINER
55,1,68,ORD,ORD
56,47,69,MISC,LRC
57,68,70,TATAJD,TATA JD CH
58,69,71,TATAJDEN,TATA JD ENG
59,70,72,ROCKDRIL,P/ROCK DRILL
60,73,73,RR_JESS,R/R JESSOP
61,74,74,INDG,155 BOFORS
62,74,75,INDG,SNOW MOBILE
63,74,76,INDG,130MM GUN
64,74,77,INDG,ZIL
65,74,78,INDG,KOLES TATRA
66,74,79,INDG,TANK T-55
67,74,80,INDG,URAL
68,74,81,INDG,OVER SLOW VE
69,74,82,INDG,SCKHILKA
70,74,83,INDG,30 MM AGL
71,23,84,SCANIA,SCANIA
72,87,98,AIRFILL,AIR FILLING
73,75,85,GREAVES,GREAVE TD2V8
74,76,86,CUMMINS,CUM NT743C
75,77,87,CHICAENG,CHICAGO ENG
76,62,88,AC_PERK,AC PERKINS
77,78,89,BD80A12C,BD 80 A12 CH
78,79,90,BD80A12E,BD80 A12 ENG
79,80,91,BD50A15C,BD50 A15 CH
80,81,92,BD50A15E,BD50 A15 ENG
81,82,93,SWARAJ,SWARAJ MAJDA
82,83,94,OBM75HP,OBM 75 HP
83,84,01,AC_LEY,AC LEYLAND
84,85,11,MG_WABCO,MG WABCO
85,86,97,MOT_SCRA,MOTOR SCRAPE
86,88,99,SKIDSTER,SKID S/LOAD
87,1A,1A,ESCORT,ESCORT 17HY
88,1B,1B,ESC_ENG,ESCORT ENG
89,T1,T1,T4X4CH,T815 4x4 CH
90,T2,T2,T4X4ENG,T815 4x4 Eng
91,T3,T3,T6X6CH,T815 6x6 CH
92,T4,T4,T6X6ENG,T815 6x6 Eng
93,T5,T5,TIPP_CH,TATA TIPP CH
94,T6,T6,TIPP_EN,TATA TIPP EN
95,MF,MF,MFR,MFR
96,61,AP,EXP,AIR HYD PUMP
97,A1,A1,CHICA_CH,CHICA_CH
98,O4,O4,OBM40M,OBM 40  Mari
99,S1,S1,STRELLA,STRELLA10M
100,49,49,MML,MML
101,A2,A2,CHIC_ENG,CHIC_ENG
102,SL,SL,SSL_ENG,SSL_ENG
103,PA,PA,OBMPA,OBMPA
104,95,95,OBM90,OBM90
105,Y3,Y3,OBM115Y3,OBM115Y3
106,96,96,OBM50,OBM50
107,E5,E5,HYD_EXCA,HYD_EXCA 220
108,J3,J3,J3DXSC,JCB3DX SUPER
109,AR,AR,ARV_WZT3,ARV_WZT3
